Given Address,House Number,Street,City,State,ZIP Code,Full Address,Exact Match
2752 NW 18TH ST OK,2752,Northwest 18th Street,Lawton,Oklahoma,73507,"2752 Northwest 18th Street Lawton, Oklahoma 73507",True
2800 NE SUCCESS ST OK,2800,Northeast Success Street,Oklahoma City,Oklahoma,73111,"2800 Northeast Success Street Oklahoma City, Oklahoma 73111",True
2516 NW 39TH TER OK,2516,Northwest 39th Terrace,Oklahoma City,Oklahoma,73112,"2516 Northwest 39th Terrace Oklahoma City, Oklahoma 73112",True
2517 SE 45TH ST OK,2517,Southeast 45th Street,Oklahoma City,Oklahoma,73129,"2517 Southeast 45th Street Oklahoma City, Oklahoma 73129",True
2521 NE SUCCESS ST OK,2521,Northeast Success Street,Oklahoma City,Oklahoma,73111,"2521 Northeast Success Street Oklahoma City, Oklahoma 73111",True
2525 SW 92ND ST OK,2525,Southwest 92nd Street,Oklahoma City,Oklahoma,73159,"2525 Southwest 92nd Street Oklahoma City, Oklahoma 73159",True
2541 NW 50TH ST OK,2541,Northwest 50th Street,Oklahoma City,Oklahoma,73112,"2541 Northwest 50th Street Oklahoma City, Oklahoma 73112",True
2544 SW 52ND ST OK,2544,Southwest 52nd Street,Oklahoma City,Oklahoma,73119,"2544 Southwest 52nd Street Oklahoma City, Oklahoma 73119",True
2617 SW 69TH ST OK,2617,Southwest 69th Street,Lawton,Oklahoma,73505,"2617 Southwest 69th Street Lawton, Oklahoma 73505",True
15 SE 29TH ST  OK,15,Southeast 29th Street,Oklahoma City,Oklahoma,73129,"15 Southeast 29th Street Oklahoma City, Oklahoma 73129",True
3060 NW 68TH ST OK,3060,Northwest 68th Street,Oklahoma City,Oklahoma,73116,"3060 Northwest 68th Street Oklahoma City, Oklahoma 73116",True
309 SE 28TH ST OK,309,Southeast 28th Street,Oklahoma City,Oklahoma,73129,"309 Southeast 28th Street Oklahoma City, Oklahoma 73129",True
3100 NE 14TH ST OK,3100,Northeast 14th Street,Oklahoma City,Oklahoma,73117,"3100 Northeast 14th Street Oklahoma City, Oklahoma 73117",True
3101 SW 105TH ST OK,3101,Southwest 105th Street,Oklahoma City,Oklahoma,73170,"3101 Southwest 105th Street Oklahoma City, Oklahoma 73170",True
3112 SW 102ND ST OK,3112,Southwest 102nd Street,Oklahoma City,Oklahoma,73159,"3112 Southwest 102nd Street Oklahoma City, Oklahoma 73159",True
3113 SW 72ND ST OK,3113,Southwest 72nd Street,Oklahoma City,Oklahoma,73159,"3113 Southwest 72nd Street Oklahoma City, Oklahoma 73159",True
3116 NE 13TH ST OK,3116,Northeast 13th Street,Oklahoma City,Oklahoma,73117,"3116 Northeast 13th Street Oklahoma City, Oklahoma 73117",True
3116 S POST RD OK,3116,South Post Road,City not found,Oklahoma,73044,"3116 South Post Road City not found, Oklahoma 73044",True
312 NW 96TH ST OK,312,Northwest 96th Street,Oklahoma City,Oklahoma,73114,"312 Northwest 96th Street Oklahoma City, Oklahoma 73114",True
3120 NE 13TH ST OK,3120,Northeast 13th Street,Oklahoma City,Oklahoma,73117,"3120 Northeast 13th Street Oklahoma City, Oklahoma 73117",True
3120 NW 34TH ST OK,3120,Northwest 34th Street,Oklahoma City,Oklahoma,73112,"3120 Northwest 34th Street Oklahoma City, Oklahoma 73112",True
3121 NE 13TH ST OK,3121,Northeast 13th Street,Oklahoma City,Oklahoma,73117,"3121 Northeast 13th Street Oklahoma City, Oklahoma 73117",True
3125 NW 12TH ST OK,House number not found,North Drexel Boulevard,Oklahoma City,Oklahoma,73112,"House number not found North Drexel Boulevard Oklahoma City, Oklahoma 73112",False
3128 SW 47TH ST OK,3128,Southwest 47th Street,Oklahoma City,Oklahoma,73119,"3128 Southwest 47th Street Oklahoma City, Oklahoma 73119",True
3128 SW 71ST ST OK,3128,Southwest 71st Street,Oklahoma City,Oklahoma,73159,"3128 Southwest 71st Street Oklahoma City, Oklahoma 73159",True
3136 SW 65TH PL OK,3136,Southwest 65th Place,Oklahoma City,Oklahoma,73159,"3136 Southwest 65th Place Oklahoma City, Oklahoma 73159",True
3140 NW 28TH ST OK,3140,Northwest 28th Street,Oklahoma City,Oklahoma,73107,"3140 Northwest 28th Street Oklahoma City, Oklahoma 73107",True
2930 SW 52ND ST OK,2930,Southwest 52nd Street,Oklahoma City,Oklahoma,73119,"2930 Southwest 52nd Street Oklahoma City, Oklahoma 73119",True
2940 NW 29TH ST OK,House number not found,Street not found,Oklahoma City,Oklahoma,73099,"House number not found Street not found Oklahoma City, Oklahoma 73099",False
3000 SW 51ST ST OK,3000,Southwest 51st Street,Oklahoma City,Oklahoma,73119,"3000 Southwest 51st Street Oklahoma City, Oklahoma 73119",True
3004 NW 68TH ST OK,3004,Northwest 68th Street,Oklahoma City,Oklahoma,73116,"3004 Northwest 68th Street Oklahoma City, Oklahoma 73116",True
3005 NW 44TH ST OK,3005,Northwest 44th Street,Oklahoma City,Oklahoma,73112,"3005 Northwest 44th Street Oklahoma City, Oklahoma 73112",True
3008 NW 16TH ST OK,3008,Northwest 16th Street,Oklahoma City,Oklahoma,73107,"3008 Northwest 16th Street Oklahoma City, Oklahoma 73107",True
3008 SE 57TH ST OK,3008,Southeast 57th Street,Oklahoma City,Oklahoma,73135,"3008 Southeast 57th Street Oklahoma City, Oklahoma 73135",True
3009 NW 16TH ST OK,3009,Northwest 16th Street,Oklahoma City,Oklahoma,73107,"3009 Northwest 16th Street Oklahoma City, Oklahoma 73107",True
3009 NW 68TH ST OK,3009,Northwest 68th Street,Oklahoma City,Oklahoma,73116,"3009 Northwest 68th Street Oklahoma City, Oklahoma 73116",True
301 NE 102ND ST OK,301,Northeast 102nd Street,Oklahoma City,Oklahoma,73114,"301 Northeast 102nd Street Oklahoma City, Oklahoma 73114",True
301 NW 118TH ST OK,301,Northwest 118th Street,Oklahoma City,Oklahoma,73114,"301 Northwest 118th Street Oklahoma City, Oklahoma 73114",True
3027 NW 13TH ST OK,3027,Northwest 13th Street,Oklahoma City,Oklahoma,73107,"3027 Northwest 13th Street Oklahoma City, Oklahoma 73107",True
3028 SW 129TH ST OK,3028,Southwest 129th Street,Oklahoma City,Oklahoma,73170,"3028 Southwest 129th Street Oklahoma City, Oklahoma 73170",True
3028 SW 37TH ST OK,3028,Southwest 37th Street,Oklahoma City,Oklahoma,73119,"3028 Southwest 37th Street Oklahoma City, Oklahoma 73119",True
3031 NW 13TH ST OK,3031,Northwest 13th Street,Oklahoma City,Oklahoma,73107,"3031 Northwest 13th Street Oklahoma City, Oklahoma 73107",True
3049 NW 68TH ST OK,3049,Northwest 68th Street,Oklahoma City,Oklahoma,73116,"3049 Northwest 68th Street Oklahoma City, Oklahoma 73116",True
305 SE 66TH ST OK,305,Southeast 66th Street,Oklahoma City,Oklahoma,73149,"305 Southeast 66th Street Oklahoma City, Oklahoma 73149",True
2919 NW 72ND ST OK,House number not found,Northwest 72nd Street,Oklahoma City,Oklahoma,73116,"House number not found Northwest 72nd Street Oklahoma City, Oklahoma 73116",False
2927 NW 72ND ST OK,House number not found,Northwest 72nd Street,Oklahoma City,Oklahoma,73116,"House number not found Northwest 72nd Street Oklahoma City, Oklahoma 73116",False
2928 NW 19TH ST OK,2928,Northwest 19th Street,Lawton,Oklahoma,73507,"2928 Northwest 19th Street Lawton, Oklahoma 73507",True
3515 NW 27TH ST OK,3515,Northwest 27th Street,Oklahoma City,Oklahoma,73107,"3515 Northwest 27th Street Oklahoma City, Oklahoma 73107",True
3520 NW 18TH ST OK,3520,Northwest 18th Street,City not found,Oklahoma,73065,"3520 Northwest 18th Street City not found, Oklahoma 73065",True
3528 NW 15TH ST OK,3528,Northwest 15th Street,Oklahoma City,Oklahoma,73107,"3528 Northwest 15th Street Oklahoma City, Oklahoma 73107",True
3601 NW 15TH ST OK,3601,Northwest 15th Street,Oklahoma City,Oklahoma,73107,"3601 Northwest 15th Street Oklahoma City, Oklahoma 73107",True
3601 SW 41ST ST OK,3601,Southwest 41st Street,Oklahoma City,Oklahoma,73119,"3601 Southwest 41st Street Oklahoma City, Oklahoma 73119",True
328 SE 57TH ST OK,328,Southeast 57th Street,Oklahoma City,Oklahoma,73129,"328 Southeast 57th Street Oklahoma City, Oklahoma 73129",True
33 SE 51ST ST OK,33,Southeast 51st Street,Oklahoma City,Oklahoma,73129,"33 Southeast 51st Street Oklahoma City, Oklahoma 73129",True
3304 NE 14TH PL OK,3304,Northeast 14th Place,Oklahoma City,Oklahoma,73117,"3304 Northeast 14th Place Oklahoma City, Oklahoma 73117",True
3308 SHERMAN TER OK,3308,Sherman Terrace,Oklahoma City,Oklahoma,73111,"3308 Sherman Terrace Oklahoma City, Oklahoma 73111",True
3309 NW 24TH ST OK,3309,Northwest 24th Street,Oklahoma City,Oklahoma,73107,"3309 Northwest 24th Street Oklahoma City, Oklahoma 73107",True
3309 SE 57TH ST OK,3309,Southeast 57th Street,Oklahoma City,Oklahoma,73135,"3309 Southeast 57th Street Oklahoma City, Oklahoma 73135",True
3313 SW 26TH ST OK,3313,Southwest 26th Street,Oklahoma City,Oklahoma,73108,"3313 Southwest 26th Street Oklahoma City, Oklahoma 73108",True
3324 SW MURRAY DR OK,3324,Southwest Murray Drive,Oklahoma City,Oklahoma,73119,"3324 Southwest Murray Drive Oklahoma City, Oklahoma 73119",True
3335 NW 61ST ST OK,3335,Northwest 61st Street,Oklahoma City,Oklahoma,73112,"3335 Northwest 61st Street Oklahoma City, Oklahoma 73112",True
340 SE 57TH ST OK,340,Southeast 57th Street,Oklahoma City,Oklahoma,73129,"340 Southeast 57th Street Oklahoma City, Oklahoma 73129",True
3402 S POST RD OK,3402,South Post Road,City not found,Oklahoma,73044,"3402 South Post Road City not found, Oklahoma 73044",True
3404 S PORTLAND AVE OK,3404,South Portland Avenue,City not found,Oklahoma,73044,"3404 South Portland Avenue City not found, Oklahoma 73044",True
3408 N VIRGINIA AVE OK,3408,North Virginia Avenue,Oklahoma City,Oklahoma,73118,"3408 North Virginia Avenue Oklahoma City, Oklahoma 73118",True
3417 S CHOCTAW RD OK,3417,South Choctaw Road,Oklahoma City,Oklahoma,73020,"3417 South Choctaw Road Oklahoma City, Oklahoma 73020",True
345 SE 59TH ST OK,345,Southeast 59th Street,Oklahoma City,Oklahoma,73129,"345 Southeast 59th Street Oklahoma City, Oklahoma 73129",True
3504 W LIBERTY ST OK,1601,North New York Avenue,Mangum,Oklahoma,73554,"1601 North New York Avenue Mangum, Oklahoma 73554",False
3509 SPRINGLAKE DR OK,3509,Springlake Drive,Oklahoma City,Oklahoma,73105,"3509 Springlake Drive Oklahoma City, Oklahoma 73105",True
316 SE 57TH ST OK,316,Southeast 57th Street,Oklahoma City,Oklahoma,73129,"316 Southeast 57th Street Oklahoma City, Oklahoma 73129",True
319 SW 44TH ST OK,319,Southwest 44th Street,Oklahoma City,Oklahoma,73109,"319 Southwest 44th Street Oklahoma City, Oklahoma 73109",True
32 SW 55TH ST OK,32,Southwest 55th Street,Oklahoma City,Oklahoma,73109,"32 Southwest 55th Street Oklahoma City, Oklahoma 73109",True
320 NW 86TH ST OK,320,Northwest 86th Street,Oklahoma City,Oklahoma,73114,"320 Northwest 86th Street Oklahoma City, Oklahoma 73114",True
3209 LYON BLVD OK,3209,Lyon Boulevard,Oklahoma City,Oklahoma,73112,"3209 Lyon Boulevard Oklahoma City, Oklahoma 73112",True
3209 NW 21ST ST OK,3209,Northwest 21st Street,Oklahoma City,Oklahoma,73107,"3209 Northwest 21st Street Oklahoma City, Oklahoma 73107",True
3209 SE 51ST ST OK,3209,Southeast 51st Street,Oklahoma City,Oklahoma,73135,"3209 Southeast 51st Street Oklahoma City, Oklahoma 73135",True
3217 N LINDSAY AVE OK,3217,North Lindsay Avenue,Oklahoma City,Oklahoma,73105,"3217 North Lindsay Avenue Oklahoma City, Oklahoma 73105",True
322 SE 28TH ST OK,322,Southeast 28th Street,Oklahoma City,Oklahoma,73129,"322 Southeast 28th Street Oklahoma City, Oklahoma 73129",True
3221 NE 13TH ST OK,3221,Northeast 13th Street,Oklahoma City,Oklahoma,73117,"3221 Northeast 13th Street Oklahoma City, Oklahoma 73117",True
3224 S GOFF AVE OK,3224,South Goff Avenue,Oklahoma City,Oklahoma,73119,"3224 South Goff Avenue Oklahoma City, Oklahoma 73119",True
3230 N MACARTHUR BLVD OK,3230,North MacArthur Boulevard,Oklahoma City,Oklahoma,73122,"3230 North MacArthur Boulevard Oklahoma City, Oklahoma 73122",True
3233 SW 52ND ST OK,3233,Southwest 52nd Street,Oklahoma City,Oklahoma,73119,"3233 Southwest 52nd Street Oklahoma City, Oklahoma 73119",True
3237 SW 52ND ST OK,3237,Southwest 52nd Street,Oklahoma City,Oklahoma,73119,"3237 Southwest 52nd Street Oklahoma City, Oklahoma 73119",True
324 NW 96TH ST OK,324,Northwest 96th Street,Oklahoma City,Oklahoma,73114,"324 Northwest 96th Street Oklahoma City, Oklahoma 73114",True
3269 SW 46TH ST OK,3269,Southwest 46th Street,Oklahoma City,Oklahoma,73119,"3269 Southwest 46th Street Oklahoma City, Oklahoma 73119",True
4109 CEDAR PASS DR OK,4109,Cedar Pass Drive,Oklahoma City,Oklahoma,73179,"4109 Cedar Pass Drive Oklahoma City, Oklahoma 73179",True
4124 N STERLING AVE OK,4124,North Sterling Avenue,Oklahoma City,Oklahoma,73122,"4124 North Sterling Avenue Oklahoma City, Oklahoma 73122",True
4125 N BARR AVE OK,4125,North Barr Avenue,Oklahoma City,Oklahoma,73122,"4125 North Barr Avenue Oklahoma City, Oklahoma 73122",True
413 SE 25TH ST OK,413,Southeast 25th Street,Oklahoma City,Oklahoma,73129,"413 Southeast 25th Street Oklahoma City, Oklahoma 73129",True
4136 SW 134TH ST OK,4101,Southwest 134th Street,Oklahoma City,Oklahoma,73173,"4101 Southwest 134th Street Oklahoma City, Oklahoma 73173",False
417 NE 115TH ST OK,417,Northeast 115th Street,Oklahoma City,Oklahoma,73114,"417 Northeast 115th Street Oklahoma City, Oklahoma 73114",True
420 SE 26TH ST OK,420,Southeast 26th Street,Oklahoma City,Oklahoma,73129,"420 Southeast 26th Street Oklahoma City, Oklahoma 73129",True
420 SE 27TH ST OK,420,Southeast 27th Street,El Reno,Oklahoma,73036,"420 Southeast 27th Street El Reno, Oklahoma 73036",True
4200 NE 19TH ST OK,4200,Northeast 19th Street,Oklahoma City,Oklahoma,73121,"4200 Northeast 19th Street Oklahoma City, Oklahoma 73121",True
3847 NW 19TH ST OK,House number not found,Northwest 19th Street,Oklahoma City,Oklahoma,73127,"House number not found Northwest 19th Street Oklahoma City, Oklahoma 73127",False
3920 NW 8TH ST OK,3920,Northwest 8th Street,Oklahoma City,Oklahoma,73107,"3920 Northwest 8th Street Oklahoma City, Oklahoma 73107",True
3921 NW 30TH ST OK,3921,Northwest 30th Street,Oklahoma City,Oklahoma,73112,"3921 Northwest 30th Street Oklahoma City, Oklahoma 73112",True
3929 NW 18TH ST OK,3929,Northwest 18th Street,Oklahoma City,Oklahoma,73107,"3929 Northwest 18th Street Oklahoma City, Oklahoma 73107",True
3929 NW 33RD ST OK,3929,Northwest 33rd Street,Oklahoma City,Oklahoma,73112,"3929 Northwest 33rd Street Oklahoma City, Oklahoma 73112",True
3944 SW 24TH ST OK,3944,Southwest 24th Street,Oklahoma City,Oklahoma,73108,"3944 Southwest 24th Street Oklahoma City, Oklahoma 73108",True
4000 SW 24TH ST OK,4000,Southwest 24th Street,Oklahoma City,Oklahoma,73108,"4000 Southwest 24th Street Oklahoma City, Oklahoma 73108",True
4000 SW 26TH ST OK,4000,Southwest 26th Street,Oklahoma City,Oklahoma,73108,"4000 Southwest 26th Street Oklahoma City, Oklahoma 73108",True
4001 N LINN AVE OK,4001,North Linn Avenue,Oklahoma City,Oklahoma,73112,"4001 North Linn Avenue Oklahoma City, Oklahoma 73112",True
4001 NE 16TH ST OK,4003,Northeast 16th Street,Oklahoma City,Oklahoma,73117,"4003 Northeast 16th Street Oklahoma City, Oklahoma 73117",False
4001 SE 45TH TER OK,4001,Southeast 45th Terrace,Oklahoma City,Oklahoma,73135,"4001 Southeast 45th Terrace Oklahoma City, Oklahoma 73135",True
4029 NW 34TH ST OK,4029,Northwest 34th Street,Oklahoma City,Oklahoma,73112,"4029 Northwest 34th Street Oklahoma City, Oklahoma 73112",True
4033 RANCHO DR OK,4033,Rancho Drive,Oklahoma City,Oklahoma,73119,"4033 Rancho Drive Oklahoma City, Oklahoma 73119",True
406 SE 26TH ST OK,406,Southeast 26th Street,Oklahoma City,Oklahoma,73129,"406 Southeast 26th Street Oklahoma City, Oklahoma 73129",True
408 SW 44TH ST OK,401,Southwest 44th Street,Oklahoma City,Oklahoma,73109,"401 Southwest 44th Street Oklahoma City, Oklahoma 73109",False
409 SW 27TH ST OK,409,Southwest 27th Street,El Reno,Oklahoma,73036,"409 Southwest 27th Street El Reno, Oklahoma 73036",True
4100 S SHIELDS BLVD OK,House number not found,South Shields Boulevard,Oklahoma City,Oklahoma,73149,"House number not found South Shields Boulevard Oklahoma City, Oklahoma 73149",False
3615 N LAND AVE OK,3615,North Land Avenue,Oklahoma City,Oklahoma,73112,"3615 North Land Avenue Oklahoma City, Oklahoma 73112",True
3700 KEITH CT OK,3700,Keith Court,Oklahoma City,Oklahoma,73135,"3700 Keith Court Oklahoma City, Oklahoma 73135",True
3700 S DOUGLAS BLVD OK,3700,South Douglas Boulevard,City not found,Oklahoma,73044,"3700 South Douglas Boulevard City not found, Oklahoma 73044",True
3716 WINDS WEST CT OK,N/A,N/A,N/A,N/A,N/A,"N/A N/A N/A, N/A N/A",False
3724 WINDS WEST CT OK,N/A,N/A,N/A,N/A,N/A,"N/A N/A N/A, N/A N/A",False
3804 MANEY AVE OK,N/A,N/A,N/A,N/A,N/A,"N/A N/A N/A, N/A N/A",False
3808 SW 38TH ST OK,3808,Southwest 38th Street,Lawton,Oklahoma,73505,"3808 Southwest 38th Street Lawton, Oklahoma 73505",True
3812 GERALDINE AVE OK,3812,North Geraldine Avenue,Oklahoma City,Oklahoma,73112,"3812 North Geraldine Avenue Oklahoma City, Oklahoma 73112",True
3813 KEY PL OK,3813,Key Place,Oklahoma City,Oklahoma,73112,"3813 Key Place Oklahoma City, Oklahoma 73112",True
3829 SW 39TH ST OK,3829,Southwest 39th Street,Oklahoma City,Oklahoma,73119,"3829 Southwest 39th Street Oklahoma City, Oklahoma 73119",True
3832 NW 65TH ST OK,3832,Northwest 65th Street,Oklahoma City,Oklahoma,73116,"3832 Northwest 65th Street Oklahoma City, Oklahoma 73116",True
3841 SW 27TH PL OK,3841,Southwest 27th Place,Oklahoma City,Oklahoma,73108,"3841 Southwest 27th Place Oklahoma City, Oklahoma 73108",True
17 N MISSOURI AVE OK,1001,North Missouri Avenue,Claremore,Oklahoma,74017,"1001 North Missouri Avenue Claremore, Oklahoma 74017",False
517 SE 34TH ST OK,517,Southeast 34th Street,Moore,Oklahoma,73160,"517 Southeast 34th Street Moore, Oklahoma 73160",True
5201 BROOKDALE DR OK,5209,Brookdale Drive,Oklahoma City,Oklahoma,73135,"5209 Brookdale Drive Oklahoma City, Oklahoma 73135",False
5201 SE 46TH ST OK,5201,Southeast 46th Street,Oklahoma City,Oklahoma,73135,"5201 Southeast 46th Street Oklahoma City, Oklahoma 73135",True
524 SE 71ST ST OK,524,Southeast 71st Street,Oklahoma City,Oklahoma,73149,"524 Southeast 71st Street Oklahoma City, Oklahoma 73149",True
527 SE 28TH ST OK,527,Southeast 28th Street,Oklahoma City,Oklahoma,73129,"527 Southeast 28th Street Oklahoma City, Oklahoma 73129",True
527 SE 34TH ST OK,527,Southeast 34th Street,Moore,Oklahoma,73160,"527 Southeast 34th Street Moore, Oklahoma 73160",True
5300 S INDEPENDENCE AVE OK,5300,South Independence Avenue,Oklahoma City,Oklahoma,73119,"5300 South Independence Avenue Oklahoma City, Oklahoma 73119",True
532 SE 33RD ST OK,532,Southeast 33rd Street,Oklahoma City,Oklahoma,73129,"532 Southeast 33rd Street Oklahoma City, Oklahoma 73129",True
5321 SHALIMAR DR OK,5321,Shalimar Drive,Oklahoma City,Oklahoma,73135,"5321 Shalimar Drive Oklahoma City, Oklahoma 73135",True
540 S CEMETERY RD OK,540,South Cemetery Road,Oklahoma City,Oklahoma,73099,"540 South Cemetery Road Oklahoma City, Oklahoma 73099",True
541 SE 17TH ST OK,541,Southeast 17th Street,Pryor Creek,Oklahoma,74361,"541 Southeast 17th Street Pryor Creek, Oklahoma 74361",True
448 SW 63RD PL OK,448,Southwest 63rd Place,Oklahoma City,Oklahoma,73139,"448 Southwest 63rd Place Oklahoma City, Oklahoma 73139",True
4600 EASTMAN DR OK,4600,Eastman Drive,Oklahoma City,Oklahoma,73122,"4600 Eastman Drive Oklahoma City, Oklahoma 73122",True
4612 N BARNES AVE OK,4612,North Barnes Avenue,Oklahoma City,Oklahoma,73112,"4612 North Barnes Avenue Oklahoma City, Oklahoma 73112",True
4700 OAKWOOD LN OK,4700,Oakwood Lane,Oklahoma City,Oklahoma,73150,"4700 Oakwood Lane Oklahoma City, Oklahoma 73150",True
4808 S WALKER AVE OK,4808,South Walker Avenue,Oklahoma City,Oklahoma,73109,"4808 South Walker Avenue Oklahoma City, Oklahoma 73109",True
4912 WASHINGTON SQ OK,4517,Southeast 48th Street,Oklahoma City,Oklahoma,73135,"4517 Southeast 48th Street Oklahoma City, Oklahoma 73135",False
4917 NW 57TH ST OK,4917,Northwest 57th Street,Oklahoma City,Oklahoma,73122,"4917 Northwest 57th Street Oklahoma City, Oklahoma 73122",True
5 SW 64TH TER OK,5,Southwest 64th Terrace,Oklahoma City,Oklahoma,73139,"5 Southwest 64th Terrace Oklahoma City, Oklahoma 73139",True
500 SE 71ST ST OK,500,Southeast 71st Street,Oklahoma City,Oklahoma,73149,"500 Southeast 71st Street Oklahoma City, Oklahoma 73149",True
501 N SWEETGUM AVE OK,501,North Sweetgum Avenue,Oklahoma City,Oklahoma,73127,"501 North Sweetgum Avenue Oklahoma City, Oklahoma 73127",True
5016 BROOKDALE DR OK,5016,Brookdale Drive,Oklahoma City,Oklahoma,73135,"5016 Brookdale Drive Oklahoma City, Oklahoma 73135",True
507 SE 34TH ST OK,507,Southeast 34th Street,Moore,Oklahoma,73160,"507 Southeast 34th Street Moore, Oklahoma 73160",True
508 SE 33RD ST OK,508,Southeast 33rd Street,Oklahoma City,Oklahoma,73129,"508 Southeast 33rd Street Oklahoma City, Oklahoma 73129",True
508 SW 158TH TER OK,508,Southwest 158th Terrace,Oklahoma City,Oklahoma,73170,"508 Southwest 158th Terrace Oklahoma City, Oklahoma 73170",True
509 SKYLARK DR OK,509,Skylark Drive,Oklahoma City,Oklahoma,73127,"509 Skylark Drive Oklahoma City, Oklahoma 73127",True
5101 SW 123RD ST OK,5101,Southwest 123rd Street,Oklahoma City,Oklahoma,73173,"5101 Southwest 123rd Street Oklahoma City, Oklahoma 73173",True
5116 BRIARWOOD DR OK,5116,South Briarwood Drive,Oklahoma City,Oklahoma,73135,"5116 South Briarwood Drive Oklahoma City, Oklahoma 73135",True
4209 NW 15TH ST OK,4209,Northwest 15th Street,Oklahoma City,Oklahoma,73107,"4209 Northwest 15th Street Oklahoma City, Oklahoma 73107",True
4210 LAVERNE AVE OK,4210,Laverne Avenue,Oklahoma City,Oklahoma,73135,"4210 Laverne Avenue Oklahoma City, Oklahoma 73135",True
4224 SE 47TH ST OK,4224,Southeast 47th Street,Oklahoma City,Oklahoma,73135,"4224 Southeast 47th Street Oklahoma City, Oklahoma 73135",True
4301 N ANDERSON RD OK,4301,North Anderson Road,City not found,Oklahoma,73044,"4301 North Anderson Road City not found, Oklahoma 73044",True
4311 N MCKINLEY AVE OK,4311,North McKinley Avenue,Oklahoma City,Oklahoma,73118,"4311 North McKinley Avenue Oklahoma City, Oklahoma 73118",True
4317 SE 49TH TER OK,4317,Southeast 49th Terrace,Oklahoma City,Oklahoma,73135,"4317 Southeast 49th Terrace Oklahoma City, Oklahoma 73135",True
4325 NW 55TH ST OK,4325,Northwest 55th Street,Oklahoma City,Oklahoma,73112,"4325 Northwest 55th Street Oklahoma City, Oklahoma 73112",True
444 NW 86TH ST OK,444,Northwest 86th Street,Oklahoma City,Oklahoma,73114,"444 Northwest 86th Street Oklahoma City, Oklahoma 73114",True
612 NW 54TH ST OK,612,Northwest 54th Street,Oklahoma City,Oklahoma,73118,"612 Northwest 54th Street Oklahoma City, Oklahoma 73118",True
6126 GAELIC GLEN DR OK,6126,Gaelic Glen Drive,Oklahoma City,Oklahoma,73142,"6126 Gaelic Glen Drive Oklahoma City, Oklahoma 73142",True
6212 N UTAH AVE OK,6212,North Utah Avenue,Oklahoma City,Oklahoma,73112,"6212 North Utah Avenue Oklahoma City, Oklahoma 73112",True
625 SE 72ND ST OK,625,Southeast 72nd Street,Oklahoma City,Oklahoma,73149,"625 Southeast 72nd Street Oklahoma City, Oklahoma 73149",True
629 SE 73RD ST OK,629,Southeast 73rd Street,Oklahoma City,Oklahoma,73149,"629 Southeast 73rd Street Oklahoma City, Oklahoma 73149",True
630 SW 30TH ST OK,630,Southwest 30th Street,Oklahoma City,Oklahoma,73109,"630 Southwest 30th Street Oklahoma City, Oklahoma 73109",True
6308 JOHNNIE TER OK,6308,Johnnie Terrace,Oklahoma City,Oklahoma,73149,"6308 Johnnie Terrace Oklahoma City, Oklahoma 73149",True
633 SE 28TH ST OK,633,Southeast 28th Street,Oklahoma City,Oklahoma,73129,"633 Southeast 28th Street Oklahoma City, Oklahoma 73129",True
6416 N PROSPECT AVE OK,6416,North Prospect Avenue,Oklahoma City,Oklahoma,73111,"6416 North Prospect Avenue Oklahoma City, Oklahoma 73111",True
6515 NW 11TH ST OK,6515,Northwest 11th Street,Oklahoma City,Oklahoma,73127,"6515 Northwest 11th Street Oklahoma City, Oklahoma 73127",True
6516 NW 130TH ST OK,6516,Northwest 130th Street,Oklahoma City,Oklahoma,73142,"6516 Northwest 130th Street Oklahoma City, Oklahoma 73142",True
6808 NW 136TH PL OK,6857,Northwest 136th Place,Oklahoma City,Oklahoma,73142,"6857 Northwest 136th Place Oklahoma City, Oklahoma 73142",False
7003 SPINNAKER LN OK,7003,Spinnaker Lane,Oklahoma City,Oklahoma,73116,"7003 Spinnaker Lane Oklahoma City, Oklahoma 73116",True
7024 S LINN AVE OK,7024,South Linn Avenue,Oklahoma City,Oklahoma,73159,"7024 South Linn Avenue Oklahoma City, Oklahoma 73159",True
703 SE 28TH ST OK,703,Southeast 28th Street,Oklahoma City,Oklahoma,73129,"703 Southeast 28th Street Oklahoma City, Oklahoma 73129",True
709 NW 99TH ST OK,709,Northwest 99th Street,Oklahoma City,Oklahoma,73114,"709 Northwest 99th Street Oklahoma City, Oklahoma 73114",True
5612 SE 86TH ST OK,5612,Southeast 86th Street,Oklahoma City,Oklahoma,73135,"5612 Southeast 86th Street Oklahoma City, Oklahoma 73135",True
5830 EGGLESTON AVE OK,5830,South Eggleston Avenue,Oklahoma City,Oklahoma,73109,"5830 South Eggleston Avenue Oklahoma City, Oklahoma 73109",True
5916 SW 22ND ST OK,5916,Southwest 22nd Street,Oklahoma City,Oklahoma,73128,"5916 Southwest 22nd Street Oklahoma City, Oklahoma 73128",True
5924 SE 66TH ST OK,5924,Southeast 66th Street,Oklahoma City,Oklahoma,73135,"5924 Southeast 66th Street Oklahoma City, Oklahoma 73135",True
5925 SE 68TH ST OK,5925,Southeast 68th Street,Oklahoma City,Oklahoma,73135,"5925 Southeast 68th Street Oklahoma City, Oklahoma 73135",True
5937 SE 68TH ST OK,5937,Southeast 68th Street,Oklahoma City,Oklahoma,73135,"5937 Southeast 68th Street Oklahoma City, Oklahoma 73135",True
